shadjamam|షడ్జమం  
Tiruvarul Tara|తిరువరుల్ తర 
Tiruvatirai Darishanattukku|తిరువతిరై దరిశనత్తుక్కు 
Tiruvazhundoor vaazh|తిరువాజ్హుందూర్ వాజ్హ 
Tiruvotriyoor tyaagaraajan (padam)|తిరువొట్రియూర్ త్యాగరాజన్ (పదం)
Todu needa neeve|తోడు నీడ నీవె 
Toli Janmamuna Jeyu|తొలి జన్మమున జేయి 
Toli Ne Jesina Puja Phalamu|తొలి నే జేసిన పూజ ఫలము
Toli Nenu Jesina Puja|తోలి నేను జేసిన పూజ
Toli janmamuna|తొలి జన్మమున
Toli ne jesina|తొలి నే జేసిన
Toli nenu jesina|తోలి నేను జేసిన 
Tom Taddara|తొం తద్దర 
Tom Tom Tadhara|తొం తొం తదర  
Tom dhrudhru (tillaanaa)|తొం ధృధ్రు  (తిల్లానా)
Tom taddaara (tillaanaa)|తొం  తద్దార  (తిల్లానా)
Tom tom tatara (tillaanaa)|తొం తొం తతర  (తిల్లానా)
Tookkiya tiruvadi|తూక్కియ తిరువడి 
Triloka Mata Nannu Brovu|త్రిలోక మత నన్ను బ్రోవు 
Tripuraantakaa|త్రిపురాంతకా 
Tripurasundari Napai|త్రిపురసుందరి నాపై 
Tripurasundari Shankari|త్రిపురసుందరి శంకరి 
Tudikkaikkuriya|తుదిక్కైక్కురియ 
Tudikkaikuriya|తుదిక్కైకురియ 
Tulasi Bilva Mallikadi|తులసి బిల్వ మల్లికది 
Tulasi Dalamulace|తులసి దళములచే 
Tulasi Jagajjanani Duritapaharini|తులసి జగజ్జననీ దురితాపహారిని 
Tulasi bilva|తులసి బిల్వ 
Tulasi dalamulace|తులసి  దళములచే
Tulasi jagajjanani|తులసి  జగజ్జనని
Tum bin mere (bhajan)|తుం   బిన్  మేరె (భజన్)
Tunai Purindarul|తునై  పూరిందరుల్ 
Tunai purindarul|తునై  పూరిందరుల్ 
Tungaa teeraviraajam|తుంగా తీరవిరాజం 
Tungaatarange (jaya)|తుంగాతరంగే (జయ)
Twameva sharanam|త్వమేవ శరణం 
Tyaagaraaja|త్యాగరాజ 
Tyaagaraaja sadguru|త్యాగరాజ సద్గురు 
Tyaagaraaja yoga vaibhavam|త్యాగరాజ యోగ వైభవం 
Tyaagaraajaswaami (varnam)|త్యాగరాజస్వామీ (వర్ణం)
Tyagaraja Palayashu|త్యాగరాజ పలాయషు 
Tyagaraja Svami|త్యాగరాజ స్వామి 
Tyagaraja Yoga Vaibhavam|త్యాగరాజ యోగ వైభవం 
Tyagarajadanyam Na Jane|త్యాగరాజధాన్యం న జనే 
Tyagarajam Bhajare Re|త్యాగరాజం  భజరే రే 
Tyagarajaswami|త్యాగరాజస్వామి
Tyagarajaya Namaste|త్యాగరాజాయ నమస్తే 
Tyagaraje Kritya Krityam|త్యాగరాజే క్రిత్య క్రిత్యం 
Tyagarajena Samraksitoham|త్యాగరాజేన సంరక్షితోహం 
Tyagarajo Virajate Maharaja|త్యాగరాజో విరాజతే మహారాజ 
Ucchistha Ganapatau|ఉచ్చిస్థ గణపటౌ
Udana Tatana Tara Dhim|ఉదాన తతన తార ధీమ్ 
Ugraaya avyakraaya|ఉగ్రాయ అవ్యక్రాయ 
Ulam Ariyada|ఉలం అరియాద 
Ulam ariyaadaa|ఉలం  అరియాదా 
Ullam Irangi|ఉల్లం ఇరంగి 
Uma Sutam Namami|ఉమ  సుతం నమమి 
Umaikkuriya Tiru|ఉమైక్కురియ తీరు 
Ume Ninage|ఉమె నినగె 
Ume ninage|ఉమె నినగె 
Un Perumaiyai|ఉన్ పెరుమైయై 
Un paadame|ఉన్ పాదమే 
Unadu Tiruvadi Nambi|ఉనదు తిరువడి నంబి
Unadu dayai enai|ఉనదు దయై ఎనై 
Unai nambinen ayyaa|ఉనై నంబినెన్ అయ్యా 
Unaiyallal Gati|ఉనైయల్లల్ గతి 
Unaiyallal Vere|ఉనైయల్లల్  వేరే 
Unakku samaanamaay|ఉనక్కు సమానమాయ్ 
Undedi Ramudokadu|ఉండెది రాముడొకడు 
Undedi raamudu|ఉండెదిరాముడు 
Undenru urudi|ఉండేన్రు  ఉరుడి 
Undi emi|ఉండి  ఏమి 
Undu kuladeivaraaman|ఉండు కులదైవారామన్ 
Unmai peshuvom|ఉన్మయ్ పెషువోమ్ 
Unna taavuna|ఉన్న తావున 
Unnadiye Gati|ఉన్నదియే  గతి
Unnadiye gati|ఉన్నదియే గతి 
Unnai Ninaindu|ఉన్నై నినైండు 
Unnai allaal|ఉన్నై అల్లాల్ 
Unnai ninaindu|ఉన్నై నినైండు 
Unnai telindiduvaay ulame|ఉన్నై తేలిందిదువాయ్ ఉలమే 
Unnait Tavira Verillai|ఉన్నైత్  తవిర వెరిల్లై 
Unnait Tudikka|ఉన్నైత్ తుదిక్క 
Unnaittudikka|ఉన్నైత్తుదిక్క 
Unnaiyallal Vere Gati|ఉన్నైయల్లల్  వెరె  గతి 
Unnaiyanri|ఉన్నైయాన్రి
Unnaiyanri Utra Tunai|ఉన్నైయాన్రి ఉత్ర తుణై  
Unnaiye kaadalitten|ఉన్నైయే కాదలిట్టెన్ 
Unnata Venkata|ఉన్నత వేంకట 
Upacaaramu cese|ఉపచారము చేసే 
Upacaaramulanu|ఉపచారములను  
Upacaramu Jese Varunnarani|ఉపచారము జేసే వారున్నారని 
Upacaramulanu Cekonavayya|ఉపచారములను  చేకొనవయ్యా   
Upendramashrayami Santatam|ఉపేంద్రమాశ్రయమి  సంతతమ్ 
Uragaraaja mani|ఉరగరాజా మణి 
Uragaraja Mani|ఉరగరాజ మణి 
Uragendra bhooshanam|ఉరగేంద్ర భూషణమ్ 
Urake Galguna Ramuni|ఉరకే  గల్గున రాముని 
Uri Varemi Jesedare|ఉరి  వారేమి జేసెదరే 
Uruga Vendamo|ఉరుగ వెండమో 
Urugaada ullam|ఉరుగాడా  ఉల్లం 
Urugaada ullam undo|ఉరుగాడ ఉల్లం ఉందొ 
Uyir irukkaiyil|ఉయిర్ యిరుక్కైయిల్ 
Uyyaalalooga vaiyya|ఉయ్యాలలూగ వైయ్య 
Uyyalalugavayya|ఉయ్యాలలుగవయ్యా 
Va Sharavanabhava|వ శరవణభవ 
Va Va Kalai Made|వ వ కలై మడే 
Va Velava|వ వెలవ 
Vaa murugaa vaa|వా మురుగా వా 
Vaa sharavanabhavaa|వా శరవణభవా 
Vaa velavaa|వా వెలవా 
Vaacaamagocarame|వాచామగోచరమే 
Vaachaspathim|వాచస్పతిమ్ 
Vaadera deivamu|వాడేరా దైవము 
Vaagdevi maamava (note)|వాగ్దేవి  మామవ  (స్వరం)
Vaageeshwari|వాగీశ్వరి 
Vaalai manonmani|వాలై మనోన్మనీ 
Vaamadevaa|వామదేవా 
Vaancatonu|వాంచతోను 
Vaani nityakalyaani|వాణి నిత్యకళ్యాణి 
Vaani varam arul|వాణి వరం అరుల్ 
Vaanor vanangu|వానోర్ వనంగు 
Vaarana mukhavaa|వారణ ముఖవా 
Vaaridhi neeku|వారధి నీకు 
Vaarija nayana|వారిజ నయన 
Vaarija nayana (version 2)|వారిజ  నయన (వెర్షన్ 2)
Vaasudeva varaguna|వాసుదేవ వరగున 
Vaasudevayani (daruvu)|వాసుదేవయని   (దరువు)
Vaataapi|వాతాపి 
Vaavaa shikhivaahana|వావా శిఖివాహన 
Vacam Agocarudani|వచం అగోచరుడని 
Vacamagocarame Manasa|వచామగోచరమే  మనస
Vaccunu hari|వచ్చును హరి 
Vadanyeshvaram Bhajeham|వదన్యేశ్వరం భజేహం 
Vadarasa Ne|వదరస నె 
Vadarasa ne|వదరస నె 
Vadareramma nee paada|వదరేరమ్మ నీ పాద 
Vaddane Varu Leru|వద్దనే వరు  లేరు 
Vaddane vaaru|వద్దనే వారు 
Vaddani Ne|వద్దని నె 
Vaddani Nenantiga|వద్దని నేనంతిగ
Vaddani nenanteegaa (jaavali)|వద్దని  నేనంతీగా (జావలి)
Vaddanundunade|వద్దనుండునదే 
Vadera Daivamu Manasa|వదేర దైవము మనస 
Vageeshwari|వాగీశ్వరి 
Vajreshi Mate|వజ్రేషి మతే 
Vajreshi maate|వజ్రేషి మాతే 
Valachi Vachchiyunna-varnam|వలచి వచ్చియున్న   -వర్ణం 
Valaci Vacciyunna-varnam|వలచి  వచ్చియున్న -వర్ణం 
Valaci yunna (varnam)|వలచి యున్న  (వర్ణం)
Valaputala|వలపుటల 
Vallabha Nayakasya Bhakto Bhavami|వల్లభ నాయకస్య  భక్తో భవమి 
Vallabhaa naayakasya|వల్లభా నాయకస్య 
Vallagaadaanaka|వల్లగాదానక 
vallagadanaka sita vallabha|వల్లగదనక సీత వల్లభ  
Vallee Nayaka|వల్లీ నయక 
Vallee naayakaa|వల్లీ నాయకా 
Valliyin Kalyanamadai|వల్లియిన్  కళ్యాణమడై 
Valliyin kalyaanam adai (kaavadi cindu)|వల్లియిన్  కళ్యాణం  ఆడై (కావడి చిందు)
Vamshavati Shiva Yuvati|వంశీవతి శివ యువతి
Vana Durge|వన దుర్గే
Vana durge|వన దుర్గే 
Vanaja Nayana|వనజ నయన 
Vanaja nayanudani|వనజ నయనుడని 
Vanajaaksa neevega (varnam)|వనజాక్ష నీవెగ  (వర్ణం)
Vanajaaksha|వనజాక్ష 
Vanajaksa Nine Nammiti-varnam|వనజాక్స  నినే నమ్మితి -వర్ణం 
Vanajaksa Ninne Kori-varnam|వనజాక్స  నిన్నే  కొరి -వర్ణం 
Vanajaksa Nive Gatiyani|వనజాక్స  నీవే  గతియని 
Vanajaksha Ninne-varnam|వనజాక్స నిన్నే-వర్ణం 
Vanajaksi Nine Kori-varnam|వనజాక్స నినే  కోరి-వర్ణం 
Vanajaksiro I Viraha|వనజాక్షిరొ ఈ  విరహ 
Vanajanayanudani Valacitivo|వనజనయనుడని వలచితివో 
Vanajasana Vinuta|వనజాసన వినుట 
Vancatonu|వంచతోను 
Vanchayati Yadi Kushalam|వంచయతి యది కుశలం 
Vandaan vandaan|వందాన్ వందాన్ 
Vandadellaam varattum|వందదేల్లామ్ వరట్టుమ్ 
Vandanamu Raghu Nandana|వందనము రఘు నందన 
Vandanamu raghunandana|వందనము రఘునందన
Vandannai arul taa|వందాన్నై అరుల్ తా 
Vandarul Nee Ta|వందరుల్ నీ త 
Vandarul nee taa|వందరుల్ నీ తా 
Vandarulvaay|వందారుల్వాయ్ 
Vandarulvai Muruga|వందరులవై మురుగ 
Vande Anisham Aham Varana|వందే  అనిషం   అహం  వరణ 
Vande Devadeva|వందే దేవదేవ
Vande Mataram|వందేమాతరం 
Vande Sada Padmanabham|వందే సద పద్మనాభం
Vande anisham|వందే అనిషం
Vande maadhavamma (geetam)|వందే మాధవమ్మ  (గీతం)
Vande maataram|వందే మాతరం 
Vande meenaakshi (note)|వందే మీనాక్షి(స్వర్ణం)
Vande sadaa padmanaabham|వందే సదా పద్మనాభం
Vande vaasudevam|వందే వాసుదేవం
Vandeham Shri|వందేహం శ్రీ 
Vandeham jagat|వందేహం జగత్ 
Vandeham shaaradaam|వందేహం శారదాం 
Vandeham vandeham|వందేహం వందేహం 
Vangak kadal|వంగక్ కడల్ 
Vanhivaasini|వణివాసిని
Vanhivasini|వణివసిని
Vanipondu Calu Vaddane|వానిపొందు చాలు వద్దనే 
Vanjaksa Nine Korina-varnam|వనజాక్షా నిన్నే కోరిన -వర్ణనమ్
Vanna vanna malar|వన్న వన్న మలర్ 
Vara Lila Ganalola|వర లీల గణాలోల
Vara Narada Narayana|వర నారద నారాయణ
Vara Raga Layajnulu|వర రాగ లయజ్ఞులు 
Vara Shikhi Vahana|వర శిఖి వాహన
Vara Vallabha Ramana|వర వల్లభ రమణ
Vara naarada|వర నారద
Vara raaga|వర రాగ
Vara vallabha|వర వల్లభ
Vara veenaa (geetam)|వర వీణా (గీతాచారం)
Varaalandu kommani|వరాలందు కొమ్మని
Varada Navanitasha Pahi|వరద నవనీతషా పాహి
Varada Nipuna|వరద నిపుణ
Varada navaneeta|వరద నవనీత
Varada nipuna|వరద నిపుణ
Varadaa varam taa|వరదా వరం తా
Varadaraaja mupaasmahe|వరదరాజ ముపాస్మహే
Varadaraaja paahi vibho (note)|వరదరాజ పాహి విభో (స్వరం)
Varadaraja Ninnu Kori|వరదరాజ నిన్ను కోరి
Varadarajam Upasmahe|వరదరాజం ఉపాస్మహే
Varahim Vaisnavim Vanavasini|వరహీం వైష్ణవిమ్  వనవాసిని
Varalaksmi Namostute|వరలక్ష్మి  నమోస్తుతే
Varalaksmi Niye Vandarulvaye|వరలక్ష్మి నీయె వందరుల్వయె
Varalaksmim Bhajare|వరలక్ష్మిం  భజరే
Varalandu Kommani Nayandu|వరాలందు కొమ్మని నాయందు
Varaleela gaanalola|వరాలీల  గానాలోల
Varam Tarum|వరం తరుం
Varam onru tandarulvaay|వరం ఒండ్రు తందారులవాయ్ 
Varam taarum|వరం తారుమ్ 
Varamaina Netrotsavamunu|వరమైన  నేత్రోత్సవమును 
Varamaina netrotsavamunu|వరంబైన నేత్రోత్సాయమును
Varamarulum|వరమరులం 
Varamulosagi|వరములొసగి 
Varana Mukhane|వరణ ముఖనే
Varana Mukhava|వరణ ముఖవ 
Varanasyam Pranamami-varnam|వరనస్యం  ప్రణమామి -వర్ణం 
Varashikhi vaahana|వరాశిఖి వాహన 
Varashiva baalam (note)|వరశివ బాలం  (స్వరం)
Varasiddhi Vinayaka|వరసిద్ధి వినాయక
Varasiddhi vinaayakaa|వరసిద్ధి వినాయకా!
Varava kodu|వరవ కోడు 
Varavenum|వరవెనుమ్ 
Varavenum (varnam)|వరవెనుమ్  (వర్ణం)
Varidhi Niku Vandana|వరిది   నీకు  వందన 
Varija Nayana Ni Vadanu|వరిజ  నయన ని వదను 
Varijadala Locani|వరిజడల  లోచని 
Varmamaa enmeedil|వర్మమా ఎన్మీది 
Varnam|వర్ణం 
Varuga Varuga|వరుగ వరుగ
Varuga varugave|వరుగ వరుగవే 
Varugalaamo|వరుగలామొ 
Varugalamo Ayya|వరుగలమో అయ్య 
Varumai agatri|వరుమై ఆగాత్రి 
Varuvaano vanakkuyile|వరువానో వనక్కుయిలే 
Varuvaaro varam taruvaaro|వరువారో వరం తరువారో 
Varuvai Enrun|వరువై ఎన్రున్ 
Varuvaro Varam Taruvaro|వరువరో  వరం  తరువరో 
Vashama Ni|వశమ ని 
Vasudevayani Vedalina|వసుదేవాయని  వెడలిన 
Vatapi Ganapatim Bhajeham|వాతపి  గణపతిం భజేహం 
Vava Shikhivahana|వవ శిఖివాహన 
Vazhi Maraittirukkude|వఝి మరైతిరత్కుడె
Vazhi kaatti|వాజ్హి కట్టి
Veda Mate|వేద  మాతే
Veda maate|వేద మాతే
Vedalenu Kodandapani|వెడలెను కోదండపాణి 
Vedalenu kodandapaani|వెడలెను కోదండపాణి 
Vedapureesha shodana|వేదపురీష శోదన 
Vedapurishvaram|వేదపురీశ్వరం 
Vedaranyeshvaraya Namaste|వేదరణ్యేశ్వరయా  నమస్తే
Vedattin Ucciyil|వేదత్తిన్  ఉచ్చియిల్ 
Vedattin ucciyil (viruttam)|వేదత్తిన్ ఉచ్చియిల్   (విరుత్తమ్)
Vedavaakyamani|వెదవాక్యమని 
Veenaabheri|వీణాభేరి 
Veera hanumate|వీర హనుమతే 
Veera urudi|వీర ఉరుడి 
Vega Nivu Vani|వెగ  నీవు వాణి 
Vega neevu (jaavali)|వెగ నీవు (జావలి)
Vegame Gava Ravayya|వెగమే  గవ రావయ్య 
Vel Edutta Kaiye|వెల్ ఏడుత్త కైయే 
Vela Sharanam|వెల శరణం 
Velai pozhudu|వేలై పోజ్హుడు 
Velanai nee|వెలనై నీ 
Velane Vere|వేలనే వేరె
Velane vere|వేలనే వేరె
Velava Shuranenum|వెలవ శురనెనుమ్ 
Velava Vinai|వెలవ వినై 
Velavaa vinai|వెలవా వినై 
Velavanai Ninaindu|వెలవనై నినైండు 
Velavare umai tedi|వెలవరే ఉమై తేదీ 
Velayya|వెలయ్య 
Velayyaa|వెలయ్యా 
Velu Mayilume|వేలు మయిలుమే
Velu mayilume|వేలు మయిలుమే
Venekedo mundarero|వేనేకేదో ముందరేరో 
Venkata Ramana|వెంకట రమణ
Venkata Shaila|వేంకట శైల 
Venkata shaila|వేంకట శైల 
Venkataacalanilayam|వెంకటాచలనిలయం 
Venkatacala Nilayam Guru|వేంకటచల నిలయం గురు 
Venkatacalapate|వేంకటచలపతే 
Venkataramanane baaro|వేంకటరమణనే  బారో 
Venkateshaa ninu|వేంకటేశా   నిను 
Venkateshvara Ettappa|వేంకటేశ్వర  ఎత్తప్ప 
Vennai Unnum En|వెన్నై  ఉన్నుమ్ ఎన్ 
Venugaana loluni|వేణుగాన లోలుని
Venugana Loluni|వేణుగాన లోలుని
Venugana Ramana|వేణుగాన రమణ
Verevvare gati|వేరెవ్వరై గతి 
Vezha Mukhattarashe|వేజ్హ ముఖత్తరాశే 
Vidajaaladuraa|విడజాలదురా 
Vidajaladura Na Manasu|విడజలదురా  న మనసు
Vidamu seyave|విడము సేయవే 
Vidavanuraa naavyatalu|విడవనురా నావ్యతలు 
Videmu Seyave Nannu Vidnadakuve|వీడెము  సేయవె నన్ను విడనాడకువే 
Vidhi Shakradulaku Dorakuna|విధి శక్రదులకు  దొరకున
Vidhi shakraadulaku|విధి శక్రదులకు 
Vidhiyemi jeyuduraa|విధియేమి జేయుదురా 
Vidu Vidada|వీడు విడద 
Vidulaku Mrokkeda Sangitakovidulaku|విధులకు మ్రొక్కెద సంగీతకోవిదులకు 
Vidulaku mrokkeda|విధులకు మ్రొక్కెద 
Viduruni vinda vijayeebhava|విదురుని వింద విజయీభవ 
Vighneshvara Kumara|విఘ్నేశ్వర కుమార
Vighneshvara Shubhakara|విఘ్నేశ్వర శుభకర
Vihaara maanasa|విహార మానస 
Vihara Manasa|విహార మనస
Vihara Manasa Sada|విహార మనస సద
Vijayaambike|విజయాంబికే 
Vijayambike Vimalatmike|విజయంబికే విమలాత్మికె 
Vilaiyaada idu neramaa kannaa|విళైయాడా ఇదు  నెరమా కన్నా 
Vilaiyaada idu neramaa murugaa|విళైయాడా ఇదు  నెరమా మురుగా 
Vilaiyada Mayilum Undu|విళైయాడా  మాయిలుమ్ 
Vimalakamaladala|విమలకమలాడాలా 
Vina Nashakoni Yunnanura|విన నషకొని  యున్ననురా 
Vina Pustaka Dharinim|విన పుస్తక ధరిణీం 
Vina naashakoni|విన నాశకొని 
Vina raadaa|విన రాదా
Vinaayakaa ninnu|వినయాకా నిన్ను 
Vinaayakayunnadela sadaa|వినాయకయున్నాడేలా  సదా
Vinaayakuni valenu|వినాయకుని వలెను 
Vinabheri Venuvadyadi Vinodinim|వినభేరి వేణువాద్యాది  వినోదినీమ్ 
Vinaraadu gadaraa|వినరాదు గదరా 
Vinarada Na Manavi Vinarda|వినరాదా నా మనవి వినరాదా 
Vinaradu Gadara|వినరాదు గదరా 
Vinata Suta Rara Na|వినత సుత రారా నా
Vinata Suta Vahana Shriramana|వినత సుత వాహన శ్రీరమణ
Vinata Suta Vahanudai|వినత సుత వహనుడై
Vinataa suta raaraa|వినతా సుత రారా
Vinataa suta vaahana|వినతా సుత వాహనా
Vinataa suta vaahanudai|వినతా సుత వాహానుడై
Vinave O Manasa Vivarambuna|వినవే ఓ మనసా వివరంబున 
Vinave o manasaa|వినవే ఓ మనసా
Vinayaka Ninu Vina Brocutaku|వినాయక నిన్నువిన బ్రొచుటకు 
Vinayaka Sharanam|వినాయక శరణం
Vinayaka Tunai|వినాయక తునై
Vinayaka Vighna Nashaka|వినాయక విఘ్న నాశక 
Vinayamu Nanu Kaushikunu|వినయము ననుు కౌశికును 
Vindhyaacala|వింధ్యాచల 
Vindhyacala|వింధ్యచల
Vinuta Palini|వినుత పాలినీ
Vira Hanumate Namo Namaha|వీర హనుమతే నమో నమహ
Viraaja turaga|విరాజ తురగ 
Viraivaagave|వీరైవాగవే 
Viraivagave|వీరైవగవే 
Virajaturaga Rajarajeshvara|విరజతురగ  రాజరాజేశ్వర
Viravasanta Tyagaraja|విరవసంత  త్యాగరాజ
Viriboni Ninne Kori-varnam|విరిబోని  నిన్నె కోరి-వర్ణనం
Vishalaksim Vishveshim|విసాలాక్షిం విశ్వేశిం 
Vishnu vaahanundidigo|విష్ణు వాహనుడిదిగో 
Vishnu vallabha|విష్ణు వల్లభ
Vishvanathena Raksitoham|విశ్వనాథేన రక్సీతోహమ్
Vishveshvar Darsan Kar|విశ్వేశ్వర్ దర్శన్  కర్ 
Vishveshvara darshana|విశ్వేశ్వర  దర్శన
Vishveshvaro Raksatu Mam|విశ్వేశ్వరో  రక్షతు మం 
Visnu Vahanundidigo|విష్ణు వాహనుండిదిగో 
Visvesvara Daarsan|విశ్వేశ్వర దార్సన్ 
Vrshaangam bhajare|వృశాన్గమ్ భజరే 
Vyaghrapurisha|వ్యాఘ్రపురీష!
Yaadava nee baa|యాదవ నీ బా
Yaare ranganaa|యారే రంగనా
Yaaro ivar yaaro|యారో ఇవర్ యారో
Yadukula Tilaka Enduku Nirdaya Evaru|యదుకుల తిలక ఎందుకు నిర్దయ ఎవరు
Yagnyadulu Sukhamanu|యజ్ఞయాదులు సుఖమను
Yajnaadulu sukhamanu|యజ్నాదులు సుఖమను
Yajnamayam|యజ్ఞమయం
Yamuni baadhalaku|యముని బాధలకు 
Yarenrennamale|యాఱేరెన్నమలే 
Yarenru Raghavanai|యారెండ్రు రాఘవానై
Yaro Ivar Yaro|యారో ఇవర్ యారో
Yeppadittaan Yen Ullam|యెప్పడిత్తాన్ యెన్ ఉళ్ళం 
Yeppadittaan yen ullam|యెప్పడిత్తాన్ యెన్ ఉళ్ళం 
Yocana Kamala Locana|యోచన  కమల లోచనా
Yocanaa kamala|యోచనా కమల
Yoga Nidre|యోగ నిధరే
Yoga Yogeshwari|యోగ యోగేశ్వరి
Yoga nidre|యోగ నిద్రె 
Yuktamu Gadu Nanu Raksincaka|యుక్తము గాదు నను  రక్షించక 
Yuktamu gaadu|యుక్తము గాదు
lokanayaki|లోకనాయకి
bhinnapaurali|భిన్నపౌరలి
hejjajji|హెజ్జాజీ
vanishri|వాణీశ్రి
kancanamala|కాంచనమాల
shuddhabillari|శుధ్ధబిల్లరి 
alankari |అలంకరి 
sahana|సహాన
jaya|జయ
velanadal|వెలనాడల్ 
alarata|అలరాత 
sundarangi|సుందరాంగి
shrivelavali|శ్రీవేళావళి 
garvamanjari|గర్వమంజరి 
shrngaramurti|శ్రర్గరామ్మూర్తి 
kankanalankari|కంకణాలంకారి
sukhila|సుఖిల
ramamanjari|రామమంజరి
rugmasandhini|రుగ్మసంధిని 
hiranyalalita|హిరణ్యలలిత
shunacu|శునచు 
amudavalli|ఆముదవల్లి 
cammarakriya|చమ్మరక్రియ 
sahuli|సహులి 
kitimayura|కిటిమయూర 
sarasuvati|సరసువతి
bilaval|బిల్వల్ 
shribindumalini|శ్రిబిందుమాలిని 
devishutikai|దేవిశుతికై
ratipatipriya|రాతిపతిప్రియ
kattanmai|కట్టన్మై 
bhadravahini|భద్రవాహిని 
hemakharaharapriya|హేమకరహరహరప్రియ
madhuralapa|మధురలప
karatoyam|కరతోయం 
jangla|జంగ్ల
nimalai|నిమ్మలై
shribhinnapancama|శ్రీభిన్నపంచమ
nagabhasini|నాగభాషిని
cakradhari|చక్రధారి
anjanai|అంజనై
amrtagauri|ఆమ్రతగగౌరి
yogapriya|యోగప్రియ
jnani|జ్ఞాని 
mohanavarali|మోహనవరాలి 
suposini|సుపోసిని
haripriya|హరిప్రియ
caturaangini|చతురాంగిని 
viragan|విరగన్ 
shuddhalalita|శుద్దహలలిత
bhadratodi|భద్రతోడి
dhaulikagaula|ధౌలికగౌల
jayavani|జయవాణి
vikramavarali|విక్రమవరాలి 
shuddhagandharvam|శుధ్ధగాంధర్వం 
carukuntala|చరుకుంతల
shubhavarali|శుభవరాలి 
jnanavasanta|జ్ఞానవసంత 
sakarar|సకరర్ 
vajrakanti|వజ్రకాంతి 
dasharathipriya|దశరథప్రియ
kunjari|కుంజరి 
calakesari|చలకేసరి 
shenkumizh|షెంకుమిజ్హ్
tayalakhamas|తయలఖమాస్ 
bhupkalyani|భూప్కళ్యాణి 
mrgendramadhyam|మృగేంద్రమధ్యం 
tindiral|తిండిరల్ 
bharmangi|భారమంగి 
amboruham|అంభోరుహం 
pirakkiyan|పిరక్కియన్
sikiriyantam|సికిరియన్తం 
mahuri|మహూరి 
anandanatani|ఆనందనటని 
brurayasi|బృరయసి 
idikkodiyon|ఇదిక్కోడియోన్ 
vedavalli|వేదవల్లి
hurcakapi|హుర్చకపై 
jhankarapriya|ఝంకారప్రియ
purvagaula|పుర్వగౌల
amradesi|ఆమ్రదేసి 
smokambari|స్మోకంబరి 
dayavati|దయావతి
rasavali|రసవాలి 
atapa|అతప
simhavacandana|సింహావచందన 
amrtabehag|అమృతబేహాగ్ 
paingala|పైంగల 
kusumakallolam|కుసుమకల్లోలం 
devamukhi|దేవముఖి
suvarnakriya|సువర్నక్రియ
niranjanam|నిరంజనం
somamanjari|సోమమంజరి 
prabhupriya|ప్రభుప్రియ
gurjari|గుర్జరి 
chayadevi|ఛాయదేవి
lokaranjani|లోకరంజని
tranashobhi|త్రనషొభి
shuddhabhogi|శుధ్ధభోగి
natiparam|నతిపరం
alankarapriya|అలంకారప్రియ
tandolika|తందొలిక
bhrngamohi|భ్రున్గమోహి 
narasamu|నరసము
bangalagaula|బంగలగౌల
svarakalanidhi|స్వరకళానిధి 
hemambari|హేమాంబరి 
nitimanjari|నీతిమంజరి 
haimambari|హైమాంబరి 
ishanan|ఇషాణన్ 
uragaadhipa|ఉరగాధిపా 
adikavimpiriyan|ఆదికావింపిరియన్  
nabhomani|నభోమని 
nadamanjari|నాదమంజరి
nitilaprakashini|నిటిలప్రకాశిని 
pramodghati|ప్రమోద్ఘాటీ 
aduturaiyan|ఆడుతురైయన్ 
samasalavi|సమసలవి 
sarvamati|సర్వమతి
andalikurinji|అండలికురింజి 
nandavasudha|నందవసుధ 
nagabharani|నాగాభరణి 
ekasvarupi|ఏకస్వరూపీ 
pratapamu|ప్రతాపము 
sarvanipriya|సర్వనిప్రియా 
ratnakari|రత్నకరి 
abhiru|అభిరు 
shesavahini|శేసవాహిని 
upendramati|ఉపేంద్రమతి
shanakam|శనకం 
ghantanam|ఘంటనం 
shrivivardhini|శ్రీవివర్ధిని 
shiruni|శిరుని 
kotravai|కొట్రవై 
lolangi|లోలంగి 
gaulapancama|గౌళపంచమా 
komalavilasita|కోమలవిలసిత 
kanakacala|కనకాచాలా 
sarasavahini|సరసవాహిని 
nagadavali|నాగడవలి 
maravibhramana|మారవిభ్రమణ 
yagini|యాగిని 
susavali|సుసవాలి 
gamakasamantam|గమకసామంతం 
kalasaveri|కలసవెరి 
rudrapriya|రుద్రప్రియా 
eccan|ఎచ్చన్
citsagara|చిట్సాగర 
bhavakesari|భవకేసరి 
damya|దామ్య 
dhaamavati|ధామవతి 
nagakurinji|నాగకురింజి 
dvipam|ద్విపం 
indumati|ఇందుమతి
govindadhanyasi|గోవిందధన్యాసి 
nadapriya|నాదప్రియ 
mohanavariti|మోహనవరీతి 
taluppu|తలుపు 
kokilapriya|కోకిలప్రియ 
rudramanjari|రుద్రమంజరి 
pennavardhini|పెన్నవర్ధిని 
hasyadipakam|హాస్యదీపకం 
matangagamini|మాతంగగామిని 
aravari|అరవారి 
kesaravalokam|కేసర్వలోకం 
bhramaraketana|భ్రమరకేతన 
indravamsha|ఇంద్రవంశ 
satvidhi|సాత్విధి 
nalinakusumavali|నళినకుసుమావళి 
pratapamanjari|ప్రతాపమంజరీ 
kumudaprabha|కుముదప్రభ 
shaktirupini|శక్తిరూపిని 
alava|అలవా 
