shadjamam|షడ్జమం 
ishanan|ఇషణన్
uragadhipa|ఉరగధిప
adikavimpiriyan|అడికవింశపిరీయన్
nabhomani|నహోమాని
nadamanjari|నాదమంజరి
nitilaprakashini|నిటిలాపకాశిని
pramodghati|ప్రమోఘాతి
aduturaiyan|అడ్రురైయన్
samasalavi|సమరాలవి
sarvamati|సర్వమతి
andalikurinji|ఆండలీకురింజి
nandavasudha|నందవాససుధ
nagabharani|నాగభరణి
ekasvarupi|ఏకావరపి
pratapamu|ప్రతాపము
sarvanipriya|సర్వనిప్రియ
ratnakari|రత్నాచారి
abhiru|అభూ
shesavahini|శశ్వవాహిని
upendramati|ఉపేంద్రమతి
shanakam|శణ౰మ్
ghantanam|ఘంటానం
shrivivardhini|శ్రీవివర్ధిని
shiruni|షిరుని
kotravai|కోట్రాయి
lolangi|లొంగి
gaulapancama|గళపఞచమ
komalavilasita|కోమలావిలాసిత
kanakacala|కనకాచల
sarasavahini|సరస్వతీవాహిని
nagadavali|నాగావళి
maravibhramana|మరవిభ్రమణ
yagini|యజ్ఞిని
susavali|సుసావలి
gamakasamantam|గమకాస్యంతమ్
kalasaveri|కళాసావేరి
rudrapriya|రుద్రప్రియ
eccan|eccan
citsagara|చిత్తసాగర
bhavakesari|భవకాక్షరీ
damya|దమ్య
dhaamavati|ధామావతి
nagakurinji|నాగమురళినంజి
dvipam|ద్విపమ్
indumati|ఇందుమతి
govindadhanyasi|గోవిన్దహన్యసి
nadapriya|నాదప్రియ
mohanavariti|మోహవర్తి
taluppu|తలప్పు
kokilapriya|కోకిలప్రియ
rudramanjari|రుద్రమంజరి
pennavardhini|పెన్నవరధినీ
hasyadipakam|హస్యాదిపాకం
matangagamini|మతంగగామిని
aravari|అరవగారి
kesaravalokam|కేసరాలోకం
bhramaraketana|భ్రమరాకచేతనా
indravamsha|ఇంద్రవంశ
satvidhi|సత్విధి
nalinakusumavali|నళినకుసుమావళి
pratapamanjari|ప్రతాపమంజరి
kumudaprabha|కుముదప్రభ
shaktirupini|షతిరుప్పాణి
alava|అలవా అలజడివా
bhuvanakuntali|భువనకుంతాలీ
kumaru|కుమారు
rakkudhvaja|రక్షకుద్వాజ
dhatuapancamam|ధాతుపాన్కామమ్
indumagirvani|ఇందుమగ్నిర్వాణి
pilavali|పిలవలి
bhracedashan|భ్రెచరచషన్
kuntalaranjani|కుంటాలరంజని
ragamurti|రఘుమూర్తి
datimanjari|దతిమంజరి
nagakalyani|నాగలసాని
halamukhi|హళముఖి
shuddhakantam|శుధ్దకంతం
amari|ఆదూరి
nadavarangini|నాదవరాంగిని
shriasana|సనం
bhanukanti|భానుగంటి
shikari|షికార్లు
kandarapriya|కందర్ప్రియ
navvi|నవ్వి
surasena|సురసేన
jajalika|జజలిక
jalavu|జాలవు
abhimanini|అభిమన్యిని
asukha|అముఖ
barbara|బార్బరా
punnagatodi|పున్నమకోడి
aurvashreyapriya|ఔవాశ్రయప్రియా!
shuddhasanchari|శుద్ధశాచారి
ghatika|ఘటిక
senagrani|సేనాఘ్రాణి
kokiladiptam|కోకిలదీప్తము
ramacudamani|రామచ్ఛదమణి
binduherali|బిందెనలి
lavanya|లావణ్య
svarabharnam|స్వర్ణభరణం
camuni|క్యాముని
kanthiravam|కతిరవము
candrikam|చంద్రికమ్
janavarali|జనవరాళి
megharanji|మేఘారంజీ
saikatashroni|సైకతష్ట్రోని
harini|హరిణి
tindakam|టిండాకం
binavikriam|బిందివిక్రీడమ్
nandaherali|నందహేలాలి
shorattorasi|షారఅటార్నీ
anakadundubi|అనాకతుందుబి
rasasindhu|రసంసనిు
risabhavilasa|రిసభావిలాస
latantapriya|లాంతప్రియ
korkkai|కోరుక్కై
eraghatton|ఎరగహట్టన్
saravardhini|సర్వవర్ధిని
kukuta|కుతకుత
sambandan|సంబందం
nalinamukhi|నళినముఖి
pulasya|పులస్య
bindukalanka|బిందువకలంక
marubhi|మరుభి
malhar|మల్హర్
rasikaranjani|రసికరంజని
nagavaridhi|నాగవరసిద్ధి
citrappalavi|చిత్తరప్పలవి
nigamasancari|నిగమాసాన్కారీ
hasyabhusani|హస్యభాసని
adipucciyar|అడిపుసియార్
kusumacandrika|కుసుమచంద్రిక
kokilam|కోకిలమ్
shilamban|శిల్పామన్
sudhakambhoji|సుధాకాంభోజి
senapati|సేనాపతి
vantanadharini|వందేమధిని
gangatarangini|గంగాతరరంగిని
sarojam|సరోజమ్
pratapasindhu|ప్రతాపశన్ధు
karnikabhusani|కర్నికహుని
rattumidhvani|రట్టుమనిధ్వని
paraju|పరజు
dhatuvardani|ధతువరధని
kashyapi|కశ్యపి
sukhadhvani|సుఖాధ్వని
vagadheeswari|వగద్హేశ్వరి
prashanti|ప్రశాంతి
manivantam|మణివంతమ్
bhramaravuttari|భ్రమరావముత్తారి
svarakesari|స్వరేశరి
bhosala|భోసాలే
hamsaghantaravam|హంసగన్తరవం
ayini|ాయిని
jalajamukhi|జలజముఖి
bhamagaula|భమగతుల
kolaphani|కోలాపాధాని
sayaka|సాయక
malkali|మల్కలి
maguduran|మగ్దూరన్
ghananayaki|ఘనానాయకి
rasamanjari|రసామంజరి
dhirasvarupini|ధిరసవరూధిని
sumanisharanjani|సుమనిశరంజని
gurugadya|గురుగడ్య
azhaladi|అహాలాది
kusumabhogi|కుసుమభోగి
saranga|సారంగ
minalocani|మినలనోని
kanakabhupala|కనకభూపాల
vilasavati|విలాసావతి
shekhari|శేఖరి
torparam|తోరపరం
dashanan|దషానన్
tatturu|తాతూరు
svaramati|స్వరమతి
tavan|తవాన్
jhankaravani|ఝంకారవాణి
veyul|వీయూఎల్
barvidhvaja|బర్విధ్వజ
mallikavasantam|మల్లికావాసితం
vatsam|శ్రీవత్సం
shobhavati|శోభాభవతి
padradhvani|పరాధధ్వని
kannal|కన్నల్
gopikatilakam|గోపికాతిలకం
ishapriya|ప్రియ
girvanapriya|గిరవనప్రియ
samaraga|సమరరగ
vijrumbhini|విఝరుంభిని
deshaksi|దేశికసి
purnaparaju|పునాపరాజు
shrikaikavashi|శ్రీకైకద్వాదశి
elaksari|ఎలకాచారి
brndavani|బృహన్దవణి
anata|అనత
gangalan|గంగలన్
vayalai|వయలై
haridarbha|హరిధర్భ
hamsavinodini|హంసావినోదిని
bhendrila|భింద్రిలా
senaranjani|సేనారంజనీ
tiruyogini|తిరుయోగిని
shanmatrika|షణ్మాత్రిక
multani|ముల్తానీ
kanakaambari|కనకఅంబ
tulikavicitra|తులికావిమిత్ర
mandrumam|మంత్రము
nakhaprakashini|నఘప్రకాశిని
guhamanohari|గుహామనోహరి
karavani|కరవాణి
suprakashi|సుకాశి
gamakapriya|గమకప్రియ
mahadevapriya|మహాదేవప్రియ
shuddhatarangini|శుధ్ధతరంగిణి
ghanasindhu|ఘనసనిధు
latamati|లామతి
saudayam|సౌదయం
uruppashi|రుపాషి
anuru|అనూరు
gajasari|గజాచారి
nanni|నన్నే
kannadabangala|కన్నడభంగళ
lalitakriya|లలితాప్రియ
kalavati|కళావతి
ardhambari|అర్ధాంబరి
patadip|పదీప్
keyacaradharini|కీరధారిణి
sarangapani|సారంగపాణి
suryalalit|సూరయ్యలట్
karkki|కర్కీ
varada|వరదా
bherikarnika|భహేరికర్నిక
devaattiru|దేవతాతీర్థము
sukumari|సుకుమారి
camundi|చమత్కార
trishulini|త్రిశులిని
shrikala|శ్రీకళ
svaracintamani|స్వర్గనితంబామణి
puvanam|పువనం
vamshavati|వంశీవతి
ksapa|ksapa
shuddhamohini|శుధ్ధామోహిని
dhavalihamsini|ధవలిహసిని
duccavanan|ద్యక్వణన్
tavashelam|తవాశీలం
kalasvarupini|కలశవరూధిని
tiruccandran|తిరుచ్చందరన్
shrikhandalepini|శ్రీఖండాలఎప్ని
kaumari|కౌమారి
vyazhakurinji|వ్యాహ్యాకురింజి
shricandrika|షరిచంద్రిక
jarapa|జరప
kaminiritigaula|కామినిరితిగలా
ekalila|ఏకలిల
haranartana|హరికీర్తన
carumati|సకలైశ్వర్యములను
shenkumudam|శ్ేంకుముద్ం
jyotisvarupini|జ్యోతిస్వరూపిణి
shrimadhavamanohari|శ్రీమాధవానోహరి
yatikarsana|యతికర్సన
patirava|పతిరవ్వ
sukhapriya|సుఖప్రియా
shambhavi|శంభావి
tiruccakkiri|తిరుచ్చకిక్కిరి
ritimalhar|రితిమాలహార్
tullam|తుల్లాం
kukakam|కుకకం
niscittam|నిశ్చయమ్
yazhvallon|యజ్హవల్లభన్
todi|తోడీ
ganashobhitam|గణశోభితమ్
karamukha|కరముఖ
padmasita|పద్మితా
varali|వరాళి
maudadhanyasi|మౌదధన్యాసి
nagasugandhi|నాగగాంధీ
prabhasa|ప్రభాస
pahlika|పహలిక
kashilata|కాశీలతా
ragacandrika|రఘుచంద్రిక
adavai|వాయి
nartaki|నర్తకి
nagarai|నగరై
hindolam|హిండొలం
ravikirani|రవిఇరానీ
kondalatti|కొండలట్టి
virati|విరతి
ishaiulagajyoti|ఐశులగణజ్యోతి
kamini|కామిని
purnakarnika|పురాణార్నిక
halakthabharana|హలఖథభరణ
damayanti|దమయంతి
somapratapam|సోమప్రతాప్ పాలెం
shramahara|శ్రమహర్షణ
aracelvi|అచ్ఛెల్వి
ananda|ఆనంద
kumudapriya|కుముదప్రియ
kauranja|కౌరంజ
raudragandhari|రౌద్రగాంధారి
kuntalashrikannthi|కుంతలశ్రికణ్ణంతి
vishnupriya|విష్ణుప్రియ
sheman|షమన్
tarakapatipriya|తారకపతిప్రియ
nacaram|నాచారం
jujavali|జుజావలి
aguduri|గూడూరి
malavashri|మాలావశ్రీ
phalamanjari|ఫలమంజరి
vijayanarayani|విజయనారాయణి
chayamala|చయమల
niharam|నిహారం
saunakiyam|సౌనఖ్యం
sarasiruhapriya|సరసిరుహప్రియా
maddhimaravali|మాధిమారావళి
simharava|సింహారావ
kusumaja|కుసుమాజ
vadityavinodini|వదిత్యవినోదిని
nirkkuranji|నిర్కూకురింజి
hrdatantini|హ్రదత్తిని
kalindi|కలిందీ
gambhiryanata|గంబరయణత
jayamohanam|జయమోహనమ్
gitakirani|గీతకిరాణి
aparajita|పరాజిత
hradini|హరిని
cittasena|చిత్తేన
sarangamaruva|సారంమర్రువ
kharanjani|ఖరంజనీ
divyagandhi|దివ్యగంధి
shuddhakambhoji|శుధ్ధకాంభోజి
gandharapancama|గంధర్వచమత్కార!
mangalakaishika|మంగళైషికా!
muktidayini|ముక్తిదాయిని
chatradhari|చత్రాధారి
kaishika|కైషిక
sumabauri|సుబగౌరి
pavani|పావని
prakararanjani|ప్రకర్మరంజని
shivamurti|శివమూర్తి
sharadvini|శారదవినీ
tintrini|టింత్రిని
astapadam|ఆస్తాపమ్
nagonjini|నావన్జినీ
vaishukri|వైముఖి
megharanjanii|మేఘనారంజని
divyapancamam|దివ్యాయంకామ్
chayaranjani|చయారంజనీ
kokilanata|కోకిలనాత
shrutinata|శృతినత
indugirvani|ఇందుగిరవాణి
mashakan|మషాకన్
mohanakaishiki|మోహనకిషికి
surusena|సురుసేన
gaurimanohari|గౌరీమనోహరి
tavapriya|తప్రియా
indukanti|ఇందికంటి
haramanohari|హరమంత్రోహరి
vijayagotrari|విజయగోత్రీగారి
janjuti|జనజుట్టి
kalgada|కలగడ
shipi|షిప్పి
varnadhvaja|వరనాధ్వజ
pujabauli|పుజాబౌలి
dhatumanjari|ధతుమంజరి
gitanatani|గీతనాటని
tali|తాళి
sambhrandaka|సంభ్రరదక
sasvaga|౐వగ
navatalam|నవతలం
nagajayanti|నాగజయంతి
jatiresha|జతిరేష
tottiyam|టోత్తియం
vasantapriya|వసంతప్రియ
gitamohini|గీతమోహనీ
bhujangi|భుజింగి
kannul|కన్నుల్
hankaghantaravam|హనకఘన్తరవం
pauraprakasha|పౌరాప్రకాష
varnadipika|వర్నదిపిక
kulakanni|కులకన్ని
meghashyamala|మేఘశ్యామల
shevvali|షెవళీ
dhirahindolam|ధిరహిందోలం
prthvi|పృథివీ
vaipatikan|వైపతకాన్
sucikabharanam|సుచికభరణం
kannadavelavali|కన్నడవేలవళి
dhatri|ధాత్రి
natyamanohari|నాట్యమానోహరి
kamalavasanta|కమలవాసంత
shonankari|శౌనకారి
bidajapriya|బిదజప్రియ
kannadabhogi|కన్నదాభోగి
balamanjari|బాలమంజరి
ramavilasita|రామవిలాసిత
komalangi|కోమలాంగి
ishaikkadal|ఇషాకదళ్
devagupta|దేవగుప్తాపు
dikshanarti|దీక్షితులు
akkapada|అకకడ
nigrahamani|నిగ్రహాణి
kanakachari|కనకాచారి
savala|సవాల
nirajapriya|నిజరాజప్రియ
dhavalavarali|ధవళవరాళి
ciranti|చిరంతి
adubali|దరుబలి
nehru|నెహ్రూ
tucam|టకామ్
aravagiri|అరవగిరి
rasakushisham|రసకుషం
ganathan|గణనాథన్
kumudamoda|కుముదమ్డా
svarnamalli|స్వర్ణమల్లి
purvasalavi|పురవాసవి
natakuranji|నాటకాసురంజి
sadpadadhvani|సద్పదధ్వని
yudhistira|యుధిష్ఠిర
hamsabhusavali|హంసభూసవలి
ekashrngi|ఎకకrన్గి
shrikuvalayabharanam|శ్రీకువలయభరణం
patangam|పతంగం
bhavali|భళీ
shanpani|శనగల
tagasu|తగచు
kharaharapriya|ఖరహరప్రియ
shyamali|శ్యామలి
shuddharatnabhanu|శుధరత్నభణు
nilamukhi|నీలముఖి
nadakalyani|నాదకళ్యాణి
mecavuttari|mecavuttari
shiyirudam|షియిరుడాం
sumirti|సుమిరితి
nadamukhari|నాదముకోరి
ghantanadini|ఘంటాదాయిని
kanakadiparam|కనకదీపరం
narantam|నారంతమ్
umabharana|భరణ
svarnakriya|స్వరనరియ
kaivasi|కైవాసి
mayuramani|మాయురమణి
hindol|హిందోల్
maralagamini|మరలగిని
ganasakha|గణసఖా
somamukhi|సోముముఖి
pancamukhi|పంచముఖి
devashramam|దేవఆశ్రమం
nalattam|నలతత్త్వం
gangeshvari|గంగేశ్వరి
salagavelavali|సాలగవళావళి
sankaranandanapriya|శంకరనందనప్రియ
lalitadiparam|లలితాదిపరం
jayamanjari|జయమంజరి
hamsavelavali|హంసవవేళావళి
kalaknthadhvani|కాలాన్తధ్వని
acalanata|అకలనత
vasavalalita|వాసవలలిత
jvalakesari|జవలకసేరి
mararanjani|మారరంజని
mukundabharanam|ముకుందభరణం
valavan|వలవన్
nisadapriya|నిదపప్రియ
shrishivanapriya|శ్రీశివప్రియ
krta|క్రెటా
sarasakalyani|సరసకలాయని
nagacandrika|నగచంద్రిక
vanipancama|వాణీపఞశ
mavijayakirti|మవిజయకిర్తి
gaurimaruva|గౌరీమరువ
deshakalyani|దేశకల్యాణి
kunjaradhvani|కుంజరధ్వని
bhogavardhani|భోగవర్ధని
gamanatarangini|గమనతరంగిని
ganga|గంగా
kakali|కావలి
sahavasini|సహవాసిని
viragantaravam|విరగాంతరవం
adipancama|ఆదిపఞ్
dipika|దీపికా
urmila|ఊర్మిళ
nrtyakaushika|నృత్యాఖౌషిక
kalikavasantam|కాళికకవసాంతరం
katyayani|కాత్యాయని
karuni|కర్ణుని
sindhughanta|సింధూఘంట
gautamanadi|గౌతంనది
vasantalilavati|వసంతలలావతి
padapam|పదపము
tivravardhini|వర్ధినీ
shrngaramani|ష్రన్గారమణి
madhyamavati|మధ్యమావతి
bageshri|భగవద్గీత
mayuravasanta|మయూరవాసంత
rasavarali|రసవరాళి
bhuyomani|భుయోమాని
ishannar|ఇషన్నార్
candra|చంద్రశ్రీ
pramuditavadana|ప్రముదితవదన
shravanti|శ్రావంతి
matannini|మన్నాని
vashi|వాశి సేక్టర్
basamana|బసవరమణ
tapasvini|తపస్వినీ
shengadu|శంగడు
kuntalakusumavali|కుంతలకుసుమావళి
balavam|బలవం
bhrngukunga|భ్రున్గుకుంగ
bhanucandrika|భానుచంద్రిక
shendi|షెండి
hrdakamali|హ్రదమళి
tikkuru|టికూరు
karadhvati|కారధ్వతి
nadakali|నాటకాలి
naganandini|నాగనందిని
candrarekha|చంద్రలేఖ
caitakaranjani|చైత్యకర్రంజని
kantamani|కాంతామణి
vagvilalita|వగవిలలిత
bhikam|భిక్షం
saundaryalahiri|సౌందరయలహిరి
manarupi|మన్నారపి
bruvavi|బృవావి
patsukhasamana|పత్సుఖాసమయాన
bhogavasantam|భోగసాంతరం
gopiya|గోప్య
arappalliyan|ఆరెపల్లియన్
chayagauri|చౌయగౌరి
ganadhipa|గణాధిప
virudabharanam|విరాళాభరణం
vantika|వంతిక
varunapriya|వరునుప్రియ
shendakarai|శంద్రకరై
jansharapu|జనశరపు
varan|వరణ్
nadacintamani|నటనాంతామణి
cidambujavati|చిదంబ్బువతి
nirudragiri|నిరుద్రగిరి
sindhubhairavi|సింధుభైరవి
kanakanirmada|కనకనిర్మల
kanakanirmiti|కనకనిర్మిష్టి
gandharvagati|గంధర్వనగతి
kariyavan|కరియవన్
shuddhavasanta|శుధ్ధవాసంత
ranjanagauri|రంజనగౌరి
maruvasaranga|మరువరంగ
vijayamalavi|విజయమాళవి
enal|నాల్
rituvilasa|రితువిలాస
tuvanam|తూవనం
inakarapriya|ినకరప్రియ
kannan|కన్నన్
yogabodhini|యోగబోధిని
parvatam|పార్వతీశం
rudrapancamam|రుద్రాపంచమం
nanban|నన్బన్
neri|నేర్చి
parkkan|పరకాల
tamaniyam|తమనీయం
shrikirvani|శ్రీకిర్వాణి
pratapavarali|ప్రతాపవరాళి
avilaksana|అవలోకసన
mangalabhusani|మంగళాభసాని
narayanadesaksi|నారాయణాధేశసి
kalakanthi|కాలశాంతి
vrajinaharini|వ్రజినహరిణి
dhatuvardhani|ధతువరధని
shuddhamanjari|శుధ్ధామంజరి
namanojvala|నమనోజ్వల
kurattimanalan|కుర్తీమనలన్
mrgendra|మృగేంద్ర
sindhudhanyasi|సింధుధన్యాసి
candrikai|చంద్రికై
kalasvarupi|కలశవరపి
kalpanadharini|కల్పపనాధిని
ganatarangini|గణత్రరంగిని
rasakalanidhi|రసకళానిధి
ekagrauni|ఏకగ్రహుని
kancuki|కంచికి
amrtasvarupini|అమృతస్వరూధిని
satvikarekha|సత్యవిక్రమరేఖ
simmatam|సీమమఠం
diparam|దీపరం
vanagandhi|వానగంధి
taratalam|తారతలం
simhalalita|సింహళలలిత
jnanamurti|జ్ఞానమూర్తి
margasanjivini|మార్గశంజిణి
satisadangai|సంతృప్తిదాయంగై
sahayukta|సహాయుకోట
maruva|మరువ
shriata|శ్రీత
shattainathan|శతతైనాథన్
sundalam|సుదలం
sugunabhusani|సుగుణభాని
mecabangala|మేకభంగళ
nervan|నెర్వాన్
deshyaandhali|దేశ్యాంధలి
jaganmohanam|జగన్మోహనం
yogasurabhi|యోగసురభి
senaagrani|సేనాగాణి
guhapada|గుహాపడ
shubhakari|శుభకారి
viyoranjani|విజయోరంజని
rasakalambika|రసకలాంబికా
tugir|తుగిర్
punavar|పునవర్
sharadabharanam|శరదభరణం
kulavuri|కులవూరి
sevadi|సీవీడి
jvalika|జవల్క
kurudeshyam|కురుదేశ్యం
uttungamana|ఉత్తుగమనా
bhupala|భూపాల
sukhavani|సుఖావాణి
martandapriya|మార్తాండప్రియ
amrtadhanyasi|అమృతాధన్యాసి
kusumadharini|కుసుమహరిణి
nattamallaru|నట్టతమల్లేరు
kadaiyam|కడైయం
mahati|మహతి
manavali|నామావళి
gaurinisadam|గౌరీనిదం
jaloddhati|జలోద్ధతి
sarpandri|సర్పపందిరి
hindolavasanta|హిండలవాసంత
risipriya|రిసిప్రియ
pilu|పిలల్లు
akkara|అక్కర
saracciru|saracciru
vipramati|విప్రమతి
shridipakam|శ్రీదీపాకం
simhalila|సింహళ
shrutipriya|శృతిప్రియ
sevamanohari|సేవానోహరి
pahadi|పహాడీ
toyamapuram|తోయపురం
kokilabhupalam|కోకిలపాలెం
phenadyuti|ఫెదయుక్తి
divyamani|దివ్యమణి
chayakambhoji|ఛయకంభోజి
dumanam|డుమానును
shuddhasalavi|శుధ్ధసవి
ghatita|ఘటికా
abheri|అభేరి
dvipavati|ద్విపావతి
sattaparuni|శతపర్వుని
shailapadi|శైలపది
lalitabhairavi|లలితాభైరవి
karmavu|కర్మవు
vasantatodi|వసంతతోడి
chayakaushika|చయఔషట్ిక
surika|సురిక
sarasam|సరసం
tarpakan|తర్పకం
kanakabhairavi|కనకభైరవి
maruvasimanta|మరువానిమంత
shauripriya|శౌరిప్రియ
vegamalini|వేగామలిని
shvetavananayaki|ష్వేతవనానాయకి
shubravarali|శుబ్రవరాళి
kapijingala|కపిలింగాల
devahamsavelavali|దేవాహసవేళావళి
shrikarunalaya|శ్రీకరుణాాలయ
dvradagamini|ద్వరాదగామిని
shatarupi|షటరపి
shuddhagottamani|శుధ్ధగోత్తామణి
gaunti|గనుంటి
mahadevan|మహదేవన్
paripurnasvarupi|పరిపూర్ణానవరపి
tarangini|తరంగిణి
simhalabhairavi|సింహభైరవి
karnamrtavarsani|కర్న్రతవర్సని
devasabhai|దేవభాయి
asaveri|సావేరి
pidaram|పీరం
tadishi|తాదిషి
dheerasankarabharanam|ధీర్వాణకరాభరణం
nirmada|నిర్మద
kodai|కోడై
mukundamandari|ముకుందామంత్రి
kalavakula|కలవకుముల
sudhakarapriya|సుధాకరప్రియ
malakosh|మాలోష్
kambanadidevi|కంభనాదిదేవి
namai|నంబై
sadari|సుతారి
madhavacandrika|మాధవచ్చచంద్రిక
mechakalyani|మేచకళ్యాణి
maranarayani|మరనారాయణి
makarayukam|మకరుకం
kavyacitra|కావ్యచిత్ర
tiruhusanan|తిరుహుస్సాన్
nandalaya|నందాలయ
samantasalavi|సమంతరాలవి
bageshrikanada|బాగశ్రీకనడ
hamsabhasani|హంసబహని
shankaramohana|శంకమోహన
kanakanasamani|కనకనామాని
valitodi|వలితోడి
tanavam|తాండవం
endolimalai|ఎండోలిమలై
niharatri|నిహారత్రి
jhalavarali|ఝాలవరాళి రాగము
malaron|మలారన్
podiyamuni|పొదియముని
deshikabangala|దేషకంగళ
avamodha|నవమోధ
shrotasvini|ష్రోతస్వినీ
cencukambhoji|చెన్నకూకాంభోజి
shrikuntam|శ్రీకుంతం
bhogishvari|భోగిశ్వరి
anantashayi|అనంతాష్టయి
oviyal|ఓవియాల్
karavasimhala|కరవసింహళ
ravanapriya|రవణ ప్రియ
pashu|పషు
vanamali|వనమాలి
bibasu|బిబసు
gomurtakam|గోమూత్రకం
vachaspati|వాచస్పతి
osadi|ఓఎస్డీ
padmaghantana|పద్మగహనన
tinduruni|టిందురుని
khadgapriya|ఖాద్ప్రియా
sindhumandari|సింధుమందిరి
malmalai|మలమలై
abhiramam|అభిరామం
hamsarasali|హంసరసాలి
sudhambhodi|సుధాంభోది
sharaavati|శరణావతి
shilapancama|శిల్పాచమత్కార
sarabindu|శరభందు
bhital|భిటల్
lavintika|లవనిత్తిక
paranamu|పణము
arakkam|అరెకరం
astavadam|స్తవమ్
suradhambudhi|సురాధాంబుధి
godari|గోదారి
janakarsani|జనకర్సని
kunri|కురి
sputalapani|స్ఫుటలపాణి
bhaskaran|భాస్కరన్
gandhatarangini|గంధతరంగిణి
shrihamsanarayani|శ్రీహంసంనారాయణి
kirtipriya|కీర్తిప్రియ
kataram|కాటారం
maruvakannada|మరువన్నాడ
sinakkaram|సినీకరమ్
priyamvada|ప్రియంవద
shrishantabhasini|సృష్టికంతహాసిని
manoranjani|మనోరంజనీ
kamaprabha|కామప్రభ
shrimanohari|శ్రీమనోహరి
amrtatarangini|ఆమ్రతరంగిని
tandavollasini|తండోల్లాసిని
dirghika|డిర్ఘిక
trimurtipriya|త్రిమూర్తిప్రియ
purvasindhu|పురవసన్తు
dinakaran|దినకరన్
deshyarevagupti|దేశ్యేవగనుప్ి
kumbhini|కుంఫిణీ
shivaara|శివవర
tara|తార
shripadmavati|శ్రీపద్మావతీ
shilavali|శిల్పావళి
panuvalatti|పనువలట్టి
kokiladiparam|కోకిలదీపరం
thomaradharini|థామర్ధరణి
jnanatandikar|జ్ఞానాంతీకర్
surati|సురటి
shenganni|షింగన్ని
tanarupi|తానరూపి రాగం
dhaumyaraga|ధౌర్యరాగ
vasantaghusani|వసంతగహుని
jlarnava|జలారనావ
navatirumanicandrika|నవతిరుమంజరికచంద్రిక
shirumani|శిరోమణి
pugali|పుగలి
vijayadipika|విజయదీపికా
dhatupancamam|ధతుపఞచమం
ucitana|ఉచితన
mandasena|మన్సేన
kolahalam|కోలాహాలం
murugaksi|మురుగక్కసి
vardhani|వర్ధని
gurugumaya|గురుగుమయ
shuddhasvaravali|శుధ్ధస్వరవళి
karuppan|కరుప్పన్
kaumodaki|కౌమోదకి
taravam|తవం
karuttan|కరూప
citrodavi|చిత్తోదi
giritaksi|గిరిట్చి
shubhavati|శుభావతి
calana|కాలాన
divyasimantini|దివ్యాస్యమంతినీ
garavasimhala|గరవససింహళ
helaprabhata|హలప్రభత
viphani|విఫణి
tiruindrani|తిరుఇంద్రాణి
hamsanilambari|హంసానిలంబిక
rathavali|రవళి
kandadruma|కందద్రమ
datikapancamam|దత్తికాపకం
piranjnyan|పింజన్నన్
dhatupriya|ధతుప్రియ
devadhanyasi|దేవహన్యసి
hamsagiri|హంసాగిరి
bhavahamsa|భవహంస
salalasa|సలలస
padmakanti|పద్మాంతి
gaulipantu|గౌళిపంతు
kamsari|కాసరి
varavarnani|వరవర్నాని
gummavali|గుమావళి
shiriviyal|షిరియాల్
margini|మార్గిని
arudradesi|అరద్రదేశీ
shakuntavarali|శకుంతవరాళి
gamakakriyaa|గమకాకిర్యా
tirumurugan|తిరుమురుగన్
megharagakurinji|మేఘరాఘకుంజి
tomaradharini|తోమరమధిని
shibika|షిబికా
niretti|నిరెట్టి
jhinavali|జాహినావళి
mattimavali|మత్తిమావలి
innishaidivakaran|ఇినిషiదివాకరన్
shankaravam|శంఖారావం
shuklakarnata|శుక్లాకరనట
citrambari|చిత్రంబరి
survaka|సూర్వక
shamalangi|షామలంగి
putrika|పుట్రిక
geetapriyaa|గీతాప్రియా!
padarika|పదనారిక
hamsakosali|హంసాకోసని
valungi|వలుంగి
singhuvam|సింఘువమ్
sheyyal|షెయాల్
samamukhari|సాముకారి
dayasyani|దయాశాయని
girishapriya|గిరిశప్రియ
parashara|పరాశర
kamalaptapriya|కమలాప్తప్రియ
ravikulanayakan|రవికులనాయకన్
dhamavati|ధమావతి
tirumaambuyan|తిరుమంబుయాన్
mamanju|మాంజు
shankarittam|శంకితమ్
antari|ంతరి
dhavalakesari|ధవళేఖరి
gurunathapriya|గురునాథప్రియ
purapurika|పురిపూరక
mallikaumodi|మల్లిఖౌమోడి
saindhavagaula|సైంధవగాదుల
caturananapriya|చతురుననప్రియ
rupangi|రూపాంగి
shantasvarupini|శాంతివర్ధిని
rajatavali|రజతావళి
kanada|కాట మ
mrgendramadhyama|మృగేంద్రమధ్యమ
bhogasindhu|భోగజనిధు
bhogachaayaa|భోగచయకా
ksen|క్సేన్
ganasamavarali|గానసావరాలి
vadivazhagan|వడివాజ్హాగన్
shuddhakalanidhi|శుధ్ధకళానిధి
maruvabangala|మరువభంగళ
asangadhari|అంగాధరి
udayaravi|ఉదయారవి
cittabhramari|చిత్తాభరమరి
raagacoodaamani|రాగమచ్ఛదమని
bhagavataranjana|భాగవత్పరంజన
ankura|అంకూర్
pukkam|పుక్కం
saralam|సారలం
diksamangali|దీక్షచంగలి
kiranabhaskaram|కిరనాభాకారం
shuddhavarali|శుధ్ధవరాళి
maunasugandhi|మౌనుశుగంధి
surabhusani|సురభిని
sikambhoji|సీతాకాంభోజి
arikandapulavar|అరికేందపులోవార
praharanakalita|ప్రహరణాళలలిత
avivardhana|వర్ధన
shubhapantuvarali|శుభపంతువరాలి
vayanam|వాయనం
havavilasini|విలాసిని
